election_year,smd_id,external_id,candidate_name,votes,vote_share,ranking,winner,write_in_winner,margin_of_victory,margin_of_victory_percentage,num_candidates,total_votes
2022,smd_2022_8A04,2ece6739bf7fcd36adec37d2cb6a858c4747d1c5755177c537dd606d,Laneice Moore,189,0.5981012658227848,1.0,True,False,71.0,0.22468354430379744,3,316
2022,smd_2022_8A04,55faff2b1c42217891569b1d77eceea25a2d0b4190da1fe8425fc1b7,Moses Smith,118,0.37341772151898733,2.0,False,False,-71,-0.22468354430379744,3,316
2022,smd_2022_8A04,,Write-in,9,0.028481012658227847,3.0,False,False,-180,-0.5696202531645569,3,316
2022,smd_2022_8A05,ebc1bdd7a1885a2fc8acf37584d523521e27fd91e29014ed31a39bc6,Jamila White,281,0.9366666666666666,1.0,True,False,262.0,0.8733333333333333,2,300
2022,smd_2022_8A05,,Write-in,19,0.06333333333333334,2.0,False,False,-262,-0.8733333333333333,2,300
2022,smd_2022_8A06,a477318cb4cd5f3335ff4dc84db1b7ae1c5fa1ba5dcb98ef6ef1b8e7,Robin McKinney,402,0.9481132075471698,1.0,True,False,380.0,0.8962264150943395,2,424
2022,smd_2022_8A06,,Write-in,22,0.05188679245283019,2.0,False,False,-380,-0.8962264150943395,2,424
2022,smd_2022_8A07,,Write-in,81,1.0,1.0,True,True,0,0.0,1,81
2022,smd_2022_8B01,485e833579b6848c6d17e39e21a6c29bf6a578ff7bc35bbe792ef876,Khadijah Watson,172,0.5566343042071198,1.0,True,False,42.0,0.13592233009708743,3,309
2022,smd_2022_8B01,f8ddde8a79588d41b1798653b6856087e8327bcfa5aaea2db9d9c52f,Takema Keyes,130,0.42071197411003236,2.0,False,False,-42,-0.13592233009708743,3,309
2022,smd_2022_8B01,,Write-in,7,0.022653721682847898,3.0,False,False,-165,-0.5339805825242719,3,309
